"LOC_BLANK","BRANCH_COUNT","CALL_PAIRS","LOC_CODE_AND_COMMENT","LOC_COMMENTS","CONDITION_COUNT","CYCLOMATIC_COMPLEXITY","CYCLOMATIC_DENSITY","DECISION_COUNT","DESIGN_COMPLEXITY","DESIGN_DENSITY","EDGE_COUNT","ESSENTIAL_COMPLEXITY","ESSENTIAL_DENSITY","LOC_EXECUTABLE","PARAMETER_COUNT","GLOBAL_DATA_COMPLEXITY","GLOBAL_DATA_DENSITY","HALSTEAD_CONTENT","HALSTEAD_DIFFICULTY","HALSTEAD_EFFORT","HALSTEAD_ERROR_EST","HALSTEAD_LENGTH","HALSTEAD_LEVEL","HALSTEAD_PROG_TIME","HALSTEAD_VOLUME","MAINTENANCE_SEVERITY","MODIFIED_CONDITION_COUNT","MULTIPLE_CONDITION_COUNT","NODE_COUNT","NORMALIZED_CYLOMATIC_COMPLEXITY","NUM_OPERANDS","NUM_OPERATORS","NUM_UNIQUE_OPERANDS","NUM_UNIQUE_OPERATORS","NUMBER_OF_LINES","PERCENT_COMMENTS","LOC_TOTAL","Defective"
0,1,1,0,0,0,1,0.33,0,1,1,2,1,0,3,0,1,1,7.74,1.5,17.41,0,5,0.67,0.97,11.61,1,0,0,3,0.25,2,3,2,3,4,0,3,"N"
0,1,0,0,0,0,1,0.2,0,1,1,1,1,0,5,0,0,0,2.67,1.5,6,0,4,0.67,0.33,4,1,0,0,2,0.17,3,1,1,1,6,0,5,"N"
5,1,2,0,11,0,1,0.04,0,1,1,13,1,0,25,0,0,0,89.86,8.16,5983.08,0.24,148,0.12,332.39,733.22,1,0,0,14,0.02,68,80,25,6,42,30.56,25,"Y"
0,1,1,0,0,0,1,0.06,0,1,1,2,1,0,16,0,0,0,2.15,6.5,91,0,14,0.15,5.06,14,1,0,0,3,0.06,13,1,1,1,17,0,16,"Y"
0,1,0,9,0,0,1,0.09,0,1,1,1,1,0,2,0,0,0,0,0,0,0,9,0,0,0,1,0,0,2,0.08,9,0,1,0,12,81.82,11,"Y"
0,3,2,0,0,4,2,0.09,2,1,0.5,24,1,0,22,0,0,0,8.07,15,1816.2,0.04,35,0.07,100.9,121.08,0.5,1,2,24,0.09,25,10,5,6,23,0,22,"N"
0,1,1,0,1,0,1,0.07,0,1,1,2,1,0,15,0,0,0,2.17,6,78,0,13,0.17,4.33,13,1,0,0,3,0.06,12,1,1,1,17,6.25,15,"N"
3,1,2,0,4,0,1,0.04,0,1,1,4,1,0,23,0,0,0,76.92,6,2769.05,0.15,95,0.17,153.84,461.51,1,0,0,5,0.03,46,49,23,6,31,14.81,23,"Y"
0,1,1,0,0,0,1,0.11,0,1,1,2,1,0,9,0,0,0,7.4,1.5,16.64,0,7,0.67,0.92,11.09,1,0,0,3,0.1,6,1,2,1,10,0,9,"N"
32,157,10,3,49,234,79,0.31,76,14,0.18,281,54,0.68,253,0,31,0.39,97.22,80.64,632225.65,2.61,1175,0.01,35123.65,7840.1,0.68,79,135,204,0.23,448,727,75,27,338,17.05,256,"N"
4,19,10,1,4,20,10,0.29,2,1,0.1,31,10,1,34,0,2,0.2,49.41,11.7,6763.77,0.19,119,0.09,375.76,578.1,1,9,10,23,0.23,52,67,20,9,44,12.82,35,"N"
0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,1,0,0,"N"
0,1,0,0,0,0,1,0.25,0,1,1,1,1,0,4,0,0,0,9.51,0.5,2.38,0,3,2,0.13,4.75,1,0,0,2,0.2,2,1,2,1,5,0,4,"N"
1,1,1,0,0,0,1,0.25,0,1,1,2,1,0,4,0,0,0,16.84,1.5,37.9,0.01,9,0.67,2.11,25.27,1,0,0,3,0.17,4,5,4,3,6,0,4,"N"
247,1,2,0,145,0,1,0,0,1,1,3,1,0,965,0,0,0,702.5,85.39,5122733.98,20,8612,0.01,284596.29,59989.33,1,0,0,4,0,2879,5733,118,7,1358,13.06,965,"N"
3,1,1,0,0,0,1,0.33,0,1,1,2,1,0,3,0,0,0,2.67,1.5,6,0,4,0.67,0.33,4,1,0,0,3,0.14,3,1,1,1,7,0,3,"N"
1,1,1,0,0,0,1,0.13,0,1,1,2,1,0,8,0,1,1,58.17,1.64,155.76,0.03,25,0.61,8.65,95.18,1,0,0,3,0.1,12,13,11,3,10,0,8,"N"
0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,5.33,1.5,12,0,4,0.67,0.67,8,1,0,0,2,1,1,3,1,3,1,0,0,"N"
2,1,1,0,0,0,1,0.13,0,1,1,2,1,0,8,0,1,1,58.17,1.64,155.76,0.03,25,0.61,8.65,95.18,1,0,0,3,0.09,12,13,11,3,11,0,8,"N"
0,1,1,0,0,0,1,0.07,0,1,1,2,1,0,14,0,0,0,2.17,6,78,0,13,0.17,4.33,13,1,0,0,3,0.07,12,1,1,1,15,0,14,"N"
0,1,0,0,3,0,1,0.25,0,1,1,1,1,0,4,0,1,1,0,0,0,0,3,0,0,4.75,1,0,0,2,0.13,3,0,3,0,8,42.86,4,"N"
11,25,4,0,11,46,13,0.23,22,11,0.85,54,3,0.17,57,0,11,0.85,60.85,22.27,30186.67,0.45,244,0.04,1677.04,1355.32,0.23,12,23,43,0.16,105,139,33,14,80,16.18,57,"N"
0,1,0,0,0,0,1,0.17,0,1,1,1,1,0,6,0,1,1,3.57,4,57.06,0,9,0.25,3.17,14.26,1,0,0,2,0.14,4,5,1,2,7,0,6,"N"
1,1,0,0,0,0,1,0.08,0,1,1,1,1,0,13,0,1,1,6.92,2.75,52.3,0.01,12,0.36,2.91,19.02,1,0,0,2,0.07,11,1,2,1,15,0,13,"N"
1,1,1,0,0,0,1,0.33,0,1,1,2,1,0,3,0,1,1,7.74,1.5,17.41,0,5,0.67,0.97,11.61,1,0,0,3,0.2,2,3,2,3,5,0,3,"N"
0,11,0,0,2,20,6,0.46,10,1,0.17,23,1,0,13,0,4,0.67,29.47,9.54,2681.34,0.09,64,0.1,148.96,281.11,0.17,5,10,19,0.38,31,33,13,8,16,13.33,13,"N"
0,1,1,0,0,0,1,0.17,0,1,1,2,1,0,6,0,0,0,2.4,2.5,15,0,6,0.4,0.83,6,1,0,0,3,0.14,5,1,1,1,7,0,6,"N"
0,1,0,0,0,0,1,0.14,0,1,1,1,1,0,7,0,1,1,14.48,1.25,22.62,0.01,7,0.8,1.26,18.09,1,0,0,2,0.13,5,2,4,2,8,0,7,"N"
0,1,0,0,0,0,1,0.2,0,1,1,1,1,0,5,0,0,0,8.45,0.75,4.75,0,4,1.33,0.26,6.34,1,0,0,2,0.17,3,1,2,1,6,0,5,"N"
0,1,0,3,1,0,1,0.25,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,2,0.17,1,0,1,0,6,80,4,"N"
0,1,0,0,3,0,1,0.25,0,1,1,1,1,0,4,0,1,1,0,0,0,0,3,0,0,3,1,0,0,2,0.13,3,0,2,0,8,42.86,4,"N"
