"LOC_BLANK","BRANCH_COUNT","CALL_PAIRS","LOC_CODE_AND_COMMENT","LOC_COMMENTS","CONDITION_COUNT","CYCLOMATIC_COMPLEXITY","CYCLOMATIC_DENSITY","DECISION_COUNT","DECISION_DENSITY","DESIGN_COMPLEXITY","DESIGN_DENSITY","EDGE_COUNT","ESSENTIAL_COMPLEXITY","ESSENTIAL_DENSITY","LOC_EXECUTABLE","PARAMETER_COUNT","HALSTEAD_CONTENT","HALSTEAD_DIFFICULTY","HALSTEAD_EFFORT","HALSTEAD_ERROR_EST","HALSTEAD_LENGTH","HALSTEAD_LEVEL","HALSTEAD_PROG_TIME","HALSTEAD_VOLUME","MAINTENANCE_SEVERITY","MODIFIED_CONDITION_COUNT","MULTIPLE_CONDITION_COUNT","NODE_COUNT","NORMALIZED_CYLOMATIC_COMPLEXITY","NUM_OPERANDS","NUM_OPERATORS","NUM_UNIQUE_OPERANDS","NUM_UNIQUE_OPERATORS","NUMBER_OF_LINES","PERCENT_COMMENTS","LOC_TOTAL","Defective"
8,1,0,0,6,0,1,0.07,0,0,1,1,1,1,0,15,0,6.55,28,5138.91,0.06,71,0.04,285.49,183.53,1,0,0,2,0.03,28,43,2,4,30,28.57,15,"N"
1,19,0,17,0,0,10,0.21,0,0,1,0.1,40,8,0.78,31,3,29.53,47.36,66226,0.47,243,0.02,3679.22,1398.44,0.8,0,0,32,0.2,102,141,28,26,50,35.42,48,"N"
27,9,0,7,9,16,5,0.23,8,2,1,0.2,17,1,0,15,0,19.42,18.42,6585.38,0.12,77,0.05,365.85,357.58,0.2,4,8,14,0.08,34,43,12,13,59,51.61,22,"N"
1,5,1,0,0,0,3,0.38,0,0,2,0.67,10,3,1,8,1,8.65,15.6,2104.23,0.04,33,0.06,116.9,134.89,1,0,0,9,0.3,13,20,5,12,10,0,8,"N"
28,9,4,5,23,16,5,0.14,8,2,5,1,23,1,0,32,2,39.89,20.67,17036.72,0.27,168,0.05,946.48,824.36,0.2,4,8,20,0.06,62,106,18,12,89,46.67,37,"N"
1,16,3,0,0,0,10,0.43,0,0,9,0.9,42,1,0,23,3,19.68,29.22,16802.56,0.19,114,0.03,933.48,575.06,0.1,0,0,34,0.4,55,59,16,17,25,0,23,"N"
11,3,0,0,15,4,2,0.4,2,2,1,0.5,5,1,0,5,1,15.23,6,548.26,0.03,24,0.17,30.46,91.38,0.5,1,2,5,0.06,9,15,6,8,32,75,5,"N"
1,5,2,0,0,0,3,0.3,0,0,2,0.67,10,3,1,10,2,14.55,10.11,1487.96,0.05,33,0.1,82.66,147.16,1,0,0,9,0.25,14,19,9,13,12,0,10,"N"
4,5,2,0,1,6,3,0.27,2,3,2,0.67,9,3,1,11,3,19.34,11.67,2632.25,0.08,48,0.09,146.24,225.62,1,2,3,8,0.18,20,28,12,14,17,8.33,11,"N"
1,17,0,0,0,0,9,0.47,0,0,1,0.11,29,9,1,19,3,19.68,25.33,12630.47,0.17,98,0.04,701.69,498.57,1,0,0,22,0.43,40,58,15,19,21,0,19,"N"
1,5,1,0,1,0,3,0.23,0,0,3,1,11,1,0,13,1,18.07,10.45,1973.69,0.06,43,0.1,109.65,188.87,0.33,0,0,10,0.19,19,24,10,11,16,7.14,13,"N"
27,9,3,5,17,14,5,0.24,6,2.33,3,0.6,20,3,0.5,16,1,18.04,21.88,8633.09,0.13,83,0.05,479.62,394.66,0.6,4,7,17,0.08,35,48,12,15,66,57.89,21,"N"
1,3,0,0,0,0,2,0.22,0,0,1,0.5,5,1,0,9,2,7.33,16,1875.31,0.04,30,0.06,104.18,117.21,0.5,0,0,5,0.18,8,22,3,12,11,0,9,"N"
0,5,0,0,0,0,3,0.5,0,0,1,0.33,9,1,0,6,1,15.36,4.9,368.89,0.03,21,0.2,20.49,75.28,0.33,0,0,8,0.43,7,14,5,7,7,0,6,"N"
1,11,1,1,1,0,6,0.3,0,0,2,0.33,17,6,1,19,2,10.03,35.21,12432.13,0.12,77,0.03,690.67,353.04,1,0,0,13,0.26,29,48,7,17,23,9.52,20,"N"
4,13,2,0,3,0,7,0.19,0,0,7,1,37,1,0,36,2,25.36,30.47,23549.34,0.26,156,0.03,1308.3,772.85,0.14,0,0,32,0.16,74,82,17,14,44,7.69,36,"N"
24,12,8,6,33,12,7,0.23,6,2,6,0.86,29,1,0,24,0,436.67,14.31,89390.87,2.08,1107,0.07,4966.16,6247.75,0.14,3,6,24,0.08,31,1076,26,24,88,61.9,30,"N"
1,5,3,0,0,0,3,0.3,0,0,2,0.67,10,3,1,10,1,22.3,11,2698.79,0.08,50,0.09,149.93,245.34,1,0,0,9,0.25,22,28,15,15,12,0,10,"N"
1,1,0,0,1,0,1,0.11,0,0,1,1,1,1,0,9,3,13.9,10,1389.74,0.05,34,0.1,77.21,138.97,1,0,0,2,0.08,14,20,7,10,12,10,9,"N"
1,5,1,0,0,0,3,0.43,0,0,2,0.67,9,3,1,7,1,12.97,4.8,298.89,0.02,18,0.21,16.61,62.27,1,0,0,8,0.33,8,10,5,6,9,0,7,"N"
1,107,7,0,0,0,54,0.72,0,0,24,0.44,219,25,0.45,75,3,46.04,88.2,358147.97,1.35,656,0.01,19897.11,4060.52,0.46,0,0,167,0.7,239,417,42,31,77,0,75,"N"
40,33,1,8,23,52,17,0.31,20,2.6,11,0.65,49,17,1,46,2,29.38,28.9,24540.17,0.28,163,0.03,1363.34,849.14,1,16,26,34,0.14,68,95,20,17,118,40.26,54,"N"
3,37,4,0,4,0,20,0.43,0,0,7,0.35,72,12,0.58,47,2,25.93,65,109570.84,0.56,289,0.02,6087.27,1685.71,0.6,0,0,54,0.36,117,172,27,30,55,7.84,47,"N"
1,15,1,0,0,0,8,0.73,0,0,2,0.25,26,7,0.86,11,1,15.48,21,6826.47,0.11,70,0.05,379.25,325.07,0.88,0,0,20,0.62,28,42,10,15,13,0,11,"N"
2,5,3,0,0,0,3,0.27,0,0,3,1,10,1,0,11,3,18.35,8.33,1274.38,0.05,36,0.12,70.8,152.93,0.33,0,0,9,0.21,15,21,9,10,14,0,11,"N"
1,3,1,0,0,0,2,0.22,0,0,2,1,7,1,0,9,3,18,6,648,0.04,27,0.17,36,108,0.5,0,0,7,0.18,12,15,8,8,11,0,9,"N"
0,3,1,0,0,0,2,0.5,0,0,2,1,6,1,0,4,1,9.51,3,85.59,0.01,9,0.33,4.75,28.53,0.5,0,0,6,0.4,3,6,3,6,5,0,4,"N"
7,5,1,3,0,0,3,0.15,0,0,1,0.33,11,1,0,17,2,21.09,13,3563.68,0.09,72,0.08,197.98,274.13,0.33,0,0,10,0.11,26,46,7,7,28,15,20,"N"
8,143,14,3,0,0,73,0.51,0,0,60,0.82,357,15,0.19,139,0,104.26,72.74,551711.63,2.53,1052,0.01,30650.65,7584.34,0.21,0,0,286,0.48,507,545,115,33,151,2.11,142,"N"
